                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                  1.178,                 2.4633,                 1.1522,                 1.0313,                0.51172,                 0.1685,                0.16891,                0.10404,                0.48504,                0.15624,                0.14871,                0.07564,                 1.0772,                 2.5357,                0.86393,                 1.0106,               0.007426,               0.007426,               0.007426
                     81,                 1.1832,                  2.476,                  1.151,                 1.0318,                0.62903,                0.16138,                0.17276,                0.10458,                0.59718,                 0.1426,                0.15064,                 0.0755,                 1.0754,                 2.5379,                0.85892,                 1.0107,               0.007393,               0.007393,               0.007393
                     82,                 1.1872,                 2.4814,                 1.1598,                 1.0313,                0.58126,                0.16674,                0.17576,                0.10838,                 0.5483,                0.15239,                0.15421,                0.07826,                 1.0712,                 2.5336,                0.86449,                 1.0079,                0.00736,                0.00736,                0.00736
                     83,                 1.1783,                 2.4769,                 1.1586,                  1.028,                0.64143,                0.15367,                0.17209,                0.10635,                0.56355,                0.13905,                0.15077,                0.07704,                  1.073,                 2.5279,                0.85945,                 1.0082,               0.007327,               0.007327,               0.007327
                     84,                 1.1882,                 2.4956,                  1.168,                 1.0331,                  0.634,                0.17913,                0.17481,                0.10592,                0.57657,                0.16947,                0.15228,                0.07528,                 1.0694,                 2.5298,                 0.8484,                 1.0076,               0.007294,               0.007294,               0.007294
                     85,                 1.1871,                 2.4565,                 1.1734,                 1.0338,                0.52157,                0.18133,                0.17829,                 0.1093,                0.48606,                0.16174,                0.15421,                0.07949,                 1.0818,                 2.5274,                0.86457,                 1.0119,               0.007261,               0.007261,               0.007261
                     86,                 1.1811,                 2.4578,                  1.153,                 1.0287,                0.62266,                 0.1665,                0.17703,                0.10908,                0.59258,                0.15082,                0.15534,                0.07959,                   1.07,                 2.5258,                0.86047,                 1.0061,               0.007228,               0.007228,               0.007228
                     87,                 1.1834,                  2.458,                 1.1628,                  1.029,                0.69088,                0.17153,                0.17961,                0.10975,                0.63086,                0.15186,                0.15457,                0.07818,                 1.0721,                 2.5286,                0.85514,                 1.0072,               0.007195,               0.007195,               0.007195
                     88,                 1.1764,                 2.4504,                 1.1448,                 1.0285,                0.55716,                0.18283,                0.17306,                0.10386,                0.50745,                0.16494,                0.14866,                0.07517,                 1.0696,                 2.5215,                0.85003,                 1.0059,               0.007162,               0.007162,               0.007162
                     89,                 1.1817,                 2.4639,                 1.1524,                 1.0286,                0.48676,                0.17965,                0.17747,                0.10559,                0.44091,                 0.1565,                0.15127,                0.07591,                 1.0662,                 2.5217,                0.85328,                 1.0046,               0.007129,               0.007129,               0.007129
                     90,                 1.1753,                 2.4522,                 1.1303,                 1.0237,                0.63623,                0.17338,                0.17905,                0.10694,                 0.5324,                0.16855,                0.15501,                0.07754,                 1.0666,                 2.5161,                0.85009,                 1.0054,               0.007096,               0.007096,               0.007096
                     91,                  1.173,                 2.4509,                 1.1359,                 1.0288,                0.54206,                 0.1828,                0.18259,                0.11004,                0.48835,                  0.163,                0.15508,                 0.0785,                  1.069,                 2.5196,                 0.8486,                 1.0062,               0.007063,               0.007063,               0.007063
                     92,                 1.1777,                 2.4542,                 1.1662,                 1.0264,                0.66775,                0.16021,                0.17575,                0.10661,                0.61149,                0.14167,                0.15079,                0.07658,                 1.0689,                 2.5269,                0.85886,                 1.0045,                0.00703,                0.00703,                0.00703
                     93,                 1.1794,                 2.4768,                  1.147,                 1.0289,                0.80343,                0.14725,                0.16987,                  0.104,                0.79302,                0.13587,                0.14798,                0.07562,                 1.0584,                 2.5161,                0.84499,                 1.0009,               0.006997,               0.006997,               0.006997
                     94,                 1.1784,                 2.4475,                 1.1612,                 1.0297,                 0.4397,                0.18556,                0.17639,                0.10751,                 0.3782,                0.16523,                0.15187,                 0.0784,                 1.0565,                 2.5108,                0.84614,                 1.0014,               0.006964,               0.006964,               0.006964
