                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.1905,                 2.4879,                 1.1926,                 1.0422,                0.52586,                0.15357,                0.16149,                0.09794,                0.48063,                0.13577,                0.13925,                0.07008,                 1.0971,                 2.5635,                0.88024,                  1.022,               0.006733,               0.006733,               0.006733
                     69,                  1.198,                 2.4948,                  1.203,                  1.042,                 0.6909,                0.15607,                0.16797,                 0.1042,                 0.4874,                0.15734,                0.14658,                0.07596,                 1.0932,                 2.5614,                0.88146,                 1.0193,              0.0066835,              0.0066835,              0.0066835
                     70,                 1.1894,                  2.488,                 1.1932,                 1.0424,                0.72701,                0.14802,                0.16288,                0.09923,                0.64658,                0.13436,                0.14218,                0.07199,                 1.0922,                 2.5606,                0.88682,                 1.0201,               0.006634,               0.006634,               0.006634
                     71,                 1.1979,                 2.4964,                 1.2113,                 1.0425,                0.68052,                0.15465,                0.17105,                0.10306,                0.64476,                0.13977,                0.14828,                  0.074,                 1.0899,                 2.5627,                0.88023,                 1.0184,              0.0065845,              0.0065845,              0.0065845
                     72,                 1.1951,                  2.502,                 1.1943,                 1.0393,                0.42585,                0.17299,                 0.1663,                 0.1001,                0.39775,                0.15903,                0.14462,                0.07263,                 1.0863,                 2.5557,                0.88109,                 1.0171,               0.006535,               0.006535,               0.006535
                     73,                 1.1949,                 2.4753,                 1.1968,                 1.0404,                0.69596,                0.16428,                 0.1672,                0.10114,                0.59531,                0.14546,                 0.1462,                0.07222,                 1.0846,                 2.5459,                0.88455,                 1.0155,              0.0064855,              0.0064855,              0.0064855
                     74,                 1.1941,                 2.4756,                 1.1993,                 1.0424,                0.52628,                0.17616,                0.17151,                0.10385,                0.51444,                 0.1456,                0.14746,                0.07501,                 1.0818,                 2.5412,                0.87301,                 1.0159,               0.006436,               0.006436,               0.006436
                     75,                 1.1759,                 2.4617,                 1.1709,                 1.0362,                0.70493,                0.15958,                 0.1718,                0.10379,                0.60637,                   0.14,                0.14601,                0.07393,                 1.0817,                 2.5499,                0.86567,                 1.0149,              0.0063865,              0.0063865,              0.0063865
                     76,                 1.1843,                 2.4705,                 1.1662,                 1.0358,                0.60544,                0.16665,                0.17276,                0.10434,                0.51021,                0.14945,                0.14895,                0.07453,                 1.0802,                 2.5368,                0.86267,                 1.0157,               0.006337,               0.006337,               0.006337
                     77,                 1.1813,                 2.4712,                 1.1676,                 1.0377,                0.70081,                0.16095,                0.17162,                0.10606,                0.60531,                0.14223,                0.14742,                0.07432,                 1.0802,                 2.5337,                 0.8686,                 1.0158,              0.0062875,              0.0062875,              0.0062875
                     78,                 1.1819,                 2.4742,                 1.1812,                 1.0387,                0.56456,                0.16636,                0.16893,                0.10402,                0.50541,                 0.1486,                0.14689,                0.07602,                 1.0778,                 2.5297,                0.87247,                 1.0139,               0.006238,               0.006238,               0.006238
                     79,                 1.1749,                 2.4388,                 1.1671,                 1.0328,                0.69596,                0.15541,                0.17064,                0.10599,                0.61543,                0.14092,                 0.1489,                0.07703,                 1.0785,                 2.5383,                  0.871,                 1.0123,              0.0061885,              0.0061885,              0.0061885
