                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.1643,                 2.4486,                 1.1556,                 1.0458,                0.62801,                0.15814,                0.15807,                 0.0968,                0.59081,                0.14165,                 0.1368,                0.06963,                 1.0772,                 2.5494,                0.89959,                 1.0314,               0.007921,               0.007921,               0.007921
                     45,                 1.1654,                 2.4561,                 1.1529,                  1.046,                0.69213,                0.15096,                0.15808,                  0.095,                0.67237,                0.13538,                0.13563,                 0.0659,                 1.1069,                 2.5794,                0.89609,                 1.0412,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.1504,                 2.4254,                 1.1654,                  1.039,                0.57636,                 0.1651,                0.16627,                0.10172,                0.57649,                0.14272,                0.14386,                0.07122,                  1.098,                 2.5517,                0.87152,                 1.0404,               0.007822,               0.007822,               0.007822
                     47,                 1.1567,                 2.4518,                 1.1586,                 1.0444,                0.70992,                0.14642,                0.16115,                0.09766,                0.66511,                0.14833,                0.14452,                0.07092,                  1.099,                 2.5549,                0.88415,                 1.0416,              0.0077725,              0.0077725,              0.0077725
                     48,                  1.162,                 2.4398,                 1.1515,                 1.0375,                0.53358,                 0.1752,                0.17153,                0.10299,                 0.5085,                 0.1593,                0.14873,                0.07448,                  1.068,                 2.5254,                0.86726,                 1.0322,               0.007723,               0.007723,               0.007723
                     49,                 1.1596,                 2.4481,                 1.1481,                 1.0399,                0.71686,                0.16156,                0.16648,                0.10283,                0.66495,                0.14465,                0.14402,                0.07364,                 1.0752,                 2.5362,                0.86488,                 1.0338,              0.0076735,              0.0076735,              0.0076735
                     50,                  1.155,                 2.4417,                  1.143,                 1.0387,                0.77272,                 0.1555,                0.16506,                0.10122,                 0.7111,                0.13755,                0.14169,                0.07264,                  1.075,                  2.551,                0.88342,                 1.0327,               0.007624,               0.007624,               0.007624
                     51,                 1.1604,                 2.4263,                 1.1626,                 1.0374,                 0.6849,                0.15668,                0.17156,                0.10429,                0.63712,                0.14608,                0.15087,                0.07529,                 1.0755,                 2.5488,                0.86623,                  1.023,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.1589,                  2.442,                 1.1597,                 1.0426,                0.67625,                  0.168,                 0.1743,                0.10162,                0.58726,                0.13928,                0.14814,                0.06993,                 1.0737,                 2.5466,                0.88296,                 1.0317,               0.007525,               0.007525,               0.007525
                     53,                 1.1616,                 2.4634,                 1.1576,                 1.0401,                0.52135,                0.18372,                0.17432,                0.10539,                 0.7056,                0.14904,                0.15017,                0.07502,                 1.0756,                  2.526,                0.87216,                  1.025,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.1567,                 2.4324,                 1.1578,                  1.041,                0.64213,                 0.1657,                0.17134,                0.10386,                0.60977,                0.15053,                0.14802,                0.07367,                 1.0701,                 2.5509,                0.87557,                 1.0295,               0.007426,               0.007426,               0.007426
                     55,                 1.1503,                 2.4396,                 1.1375,                 1.0379,                0.52167,                0.16884,                0.17045,                0.10241,                0.48999,                0.14738,                0.14617,                0.07166,                 1.0635,                 2.5271,                 0.8623,                 1.0247,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.1503,                 2.4321,                 1.1378,                 1.0355,                0.67844,                0.16966,                0.18101,                 0.1092,                0.60142,                 0.1543,                0.15334,                0.07555,                  1.071,                 2.5308,                0.86295,                 1.0293,               0.007327,               0.007327,               0.007327
                     57,                 1.1452,                 2.4173,                 1.1308,                 1.0354,                0.42739,                0.18652,                0.18116,                0.11161,                0.39962,                0.16762,                0.15694,                0.07806,                 1.0616,                 2.5129,                0.87073,                  1.022,              0.0072775,              0.0072775,              0.0072775
                     58,                 1.1473,                 2.4132,                 1.1492,                 1.0363,                0.52494,                0.17614,                0.17449,                0.10682,                0.49053,                0.15415,                0.15099,                 0.0758,                 1.0559,                 2.5141,                0.84503,                 1.0255,               0.007228,               0.007228,               0.007228
                     59,                 1.1506,                  2.411,                 1.1327,                 1.0369,                0.64307,                0.17041,                0.17961,                0.10867,                0.56559,                0.15535,                0.15453,                0.07579,                 1.0565,                  2.488,                0.86027,                 1.0231,              0.0071785,              0.0071785,              0.0071785
                     60,                 1.1442,                 2.4086,                 1.1334,                 1.0332,                0.45862,                0.16311,                0.17761,                0.10999,                0.43291,                0.15768,                 0.1572,                0.07931,                 1.0606,                 2.5081,                0.85984,                 1.0236,               0.007129,               0.007129,               0.007129
                     61,                 1.1406,                 2.4329,                 1.1376,                 1.0334,                0.67237,                0.16244,                0.18157,                0.11001,                 0.6464,                0.15136,                0.16149,                0.07831,                 1.0566,                 2.5024,                0.86035,                 1.0277,              0.0070795,              0.0070795,              0.0070795
                     62,                  1.138,                 2.3978,                 1.1412,                 1.0333,                0.68115,                0.16473,                0.18445,                0.11356,                0.61625,                0.15887,                0.16041,                0.08056,                 1.0484,                 2.5152,                0.84811,                  1.017,                0.00703,                0.00703,                0.00703
                     63,                 1.1362,                 2.3999,                 1.1324,                 1.0299,                0.56139,                0.17508,                0.17866,                0.10848,                0.54443,                0.15258,                0.15415,                0.07714,                 1.0551,                 2.4865,                0.83883,                 1.0201,              0.0069805,              0.0069805,              0.0069805
                     64,                 1.1452,                 2.4098,                 1.1286,                 1.0349,                0.53001,                0.18104,                0.18351,                0.11342,                0.49785,                0.15361,                0.15518,                0.08018,                 1.0505,                 2.4771,                0.86484,                 1.0179,               0.006931,               0.006931,               0.006931
                     65,                 1.1306,                 2.3849,                 1.1284,                 1.0266,                0.54319,                 0.1951,                0.18125,                0.11168,                 0.4959,                0.17803,                0.15813,                0.08011,                 1.0401,                 2.4847,                0.84249,                 1.0159,              0.0068815,              0.0068815,              0.0068815
                     66,                 1.1319,                  2.387,                  1.125,                 1.0309,                 0.5763,                0.19124,                0.20363,                0.12337,                0.54755,                0.16687,                0.17607,                0.08762,                 1.0402,                 2.4758,                 0.8362,                 1.0147,               0.006832,               0.006832,               0.006832
                     67,                 1.1323,                 2.3773,                  1.122,                 1.0293,                0.52652,                0.18666,                0.18377,                0.11376,                0.49089,                0.16731,                0.15971,                0.08057,                  1.036,                 2.4628,                0.82439,                 1.0131,              0.0067825,              0.0067825,              0.0067825
                     68,                  1.136,                 2.4057,                  1.126,                 1.0293,                0.57513,                0.17841,                0.18602,                0.11387,                 0.5314,                0.15982,                0.15903,                0.08019,                 1.0322,                 2.4798,                0.82203,                 1.0094,               0.006733,               0.006733,               0.006733
                     69,                 1.1245,                 2.3709,                 1.1174,                 1.0283,                0.70223,                0.16621,                0.18194,                0.10999,                0.60274,                0.14664,                0.15394,                0.07826,                 1.0403,                  2.472,                0.83411,                 1.0137,              0.0066835,              0.0066835,              0.0066835
                     70,                 1.1242,                 2.3522,                 1.1094,                 1.0248,                0.55566,                0.17398,                0.17854,                 0.1104,                0.55591,                0.14298,                0.15409,                0.07928,                 1.0373,                 2.4626,                0.83053,                 1.0154,               0.006634,               0.006634,               0.006634
                     71,                 1.1286,                 2.3779,                 1.1164,                 1.0261,                0.56624,                0.16113,                0.17728,                 0.1098,                0.52668,                0.14427,                0.15347,                 0.0786,                 1.0275,                 2.4649,                0.83436,                 1.0073,              0.0065845,              0.0065845,              0.0065845
                     72,                 1.1301,                 2.3921,                 1.1242,                 1.0254,                0.58608,                0.16491,                0.18439,                0.11276,                0.51322,                0.14719,                0.15777,                0.07921,                 1.0282,                 2.4614,                0.82907,                 1.0077,               0.006535,               0.006535,               0.006535
                     73,                 1.1243,                 2.3847,                 1.1179,                 1.0249,                 0.6707,                0.18329,                0.18608,                0.11365,                0.59862,                0.15948,                0.16033,                0.07977,                 1.0268,                 2.4673,                0.82651,                 1.0099,              0.0064855,              0.0064855,              0.0064855
                     74,                 1.1298,                 2.3887,                 1.1202,                 1.0297,                0.55463,                0.19231,                0.19278,                0.11945,                0.53868,                0.16002,                0.16756,                0.08591,                 1.0297,                 2.4654,                0.82878,                 1.0099,               0.006436,               0.006436,               0.006436
                     75,                  1.115,                 2.3568,                 1.1178,                 1.0206,                0.52746,                0.19212,                0.18541,                 0.1136,                0.53234,                0.17059,                0.16366,                0.08167,                 1.0267,                  2.467,                 0.8311,                 1.0068,              0.0063865,              0.0063865,              0.0063865
                     76,                 1.1273,                 2.3805,                 1.1212,                 1.0301,                0.57178,                 0.1833,                0.18653,                0.11541,                0.55054,                0.16818,                0.16308,                0.08218,                 1.0219,                  2.452,                0.82595,                 1.0062,               0.006337,               0.006337,               0.006337
                     77,                 1.1226,                 2.3897,                 1.1122,                 1.0258,                0.55289,                0.19701,                0.18816,                0.11509,                0.53959,                0.17067,                0.16193,                0.08022,                 1.0239,                  2.449,                0.82641,                  1.008,              0.0062875,              0.0062875,              0.0062875
                     78,                 1.1143,                 2.3636,                 1.1067,                 1.0195,                0.60152,                0.18556,                0.19176,                0.11926,                0.59554,                0.16121,                0.17005,                0.08512,                 1.0225,                 2.4367,                0.82205,                 1.0073,               0.006238,               0.006238,               0.006238
                     79,                 1.1204,                 2.3668,                 1.1208,                 1.0234,                0.57226,                0.19017,                 0.1912,                0.12005,                0.54346,                0.17456,                0.17013,                0.08593,                 1.0165,                 2.4343,                0.81645,                 1.0006,              0.0061885,              0.0061885,              0.0061885
                     80,                  1.107,                 2.3574,                 1.0992,                 1.0192,                0.59698,                0.17525,                0.18596,                 0.1159,                0.54873,                0.16619,                0.16476,                0.08302,                 1.0178,                 2.4435,                0.82042,                 1.0036,               0.006139,               0.006139,               0.006139
